DDH;From;To;Fe;S;Cu;MET Total;Litologia;AI;DG;;;
ODH-03;70.4;72.35;58.92;0.07;0.05189;717.7;MG;1.95;;;;
ODH-03;72.35;74;18.62;1.69;0.28483;2285.4;MG;1.65;;;;
ODH-03;74;76.5;60.1;0.13;0.07013;765.3;MG;2.5;;;;
ODH-03;76.5;78;60.94;0.36;0.03716;758.6;MG;1.5;;;;
ODH-03;78;79.5;48.16;0.15;0.05766;1044.2;MG;1.5;;;;
ODH-03;79.5;81;55.94;0.12;0.06035;672.8;MG;1.5;;;;
ODH-03;81;82.5;60.59;0.57;0.11564;606.6;MG;1.5;;;;
ODH-03;82.5;84;62.69;0.3;0.03623;510.8;MG;1.5;;;;
ODH-03;84;85.5;61.24;0.16;0.06577;408.9;MG;1.5;;;;
ODH-03;85.5;87;61.39;0.04;0.06215;530.2;MG;1.5;;;;
ODH-03;87;88.5;65.9;0.14;0.03035;484.8;MG;1.5;;;;
ODH-03;88.5;90;67.78;0.13;0.023;544.7;MG;1.5;;;;
ODH-03;90;91.5;64.45;0.79;0.0245;681.9;MG;1.5;;;;
ODH-03;91.5;93;61.82;1.65;0.04402;611.1;MG;1.5;;;;
ODH-03;93;94.5;66.23;0.11;0.03522;684.5;MG;1.5;;;;
ODH-03;94.5;96;67.04;0.09;0.02833;602.5;MG;1.5;;;;
ODH-03;96;97.5;67.78;0.06;0.02189;329.7;MG;1.5;;;;
ODH-03;97.5;99;65.79;0.22;0.05144;627.5;MG;1.5;;;;
ODH-03;99;100.5;66.36;0.15;0.05098;543.6;MG;1.5;;;;
ODH-03;100.5;102;66.36;0.21;0.0259;358.1;MG;1.5;;;;
ODH-03;102;103.5;66.69;1.61;0.10621;539.8;MG;1.5;;;;
ODH-03;103.5;105;61;3.09;0.35753;712.4;MG;1.5;;;;
ODH-03;105;106.5;61.66;2.79;0.21611;759.2;MG;1.5;;;;
ODH-03;106.5;108;58.55;2.16;0.27541;976.1;MG;1.5;;;;
ODH-03;108;109.5;65.4;1.36;0.0611;579.3;MG;1.5;;;;
